Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
group,464.4283966273151,2,44,232.21419831365756,12.554711499992733,4.854438552306667e-05,,0.36332850008009393,,,,
condition,350.81230584577474,2,88,175.40615292288737,50.78701648115799,2.1625602015838163e-15,1.585675344128753e-11,0.5358014036790953,0.7358422243167432,False,0.641013022963545,4.513403784457692e-05
Interaction,38.21910529497609,4,88,9.554776323744022,2.7664855225523177,0.0322488475306551,,0.11170278964422146,,,,
