A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,StepLengthSymmetryRatio,-0.650632837746852,27.65264824729046,0.5206534241980317,1.0,0.00078125,False,False,0.401,-0.22913873159423892
PD,PSP,StepLengthSymmetryRatio,0.13724861252877008,21.817193304419455,0.8920930271927997,1.0,0.00078125,False,False,0.351,0.04861057691551626
HC,PSP,StepLengthSymmetryRatio,-1.4621783259951997,16.747399395602827,0.1622043055172252,1.0,0.00078125,False,False,0.761,-0.5514721575864773
PD,PSP,StepLengthSymmetryRatio,0.28088342549721246,25.70965684674713,0.7810479049259699,1.0,0.00078125,False,False,0.359,0.1003968026371831
HC,PSP,StepLengthSymmetryRatio,-2.6268954716127983,14.597365326674899,0.019379352607761954,1.0,0.00078125,False,False,4.027,-1.0069630098773583
PD,PSP,StepLengthSymmetryRatio,-0.796144827309242,26.42356364469224,0.43304276156831445,1.0,0.00078125,False,False,0.443,-0.2883481426450778
HC,PSP,StepLengthSymmetryRatio,1.373073254135765,23.831655631785924,0.18251204951859815,1.0,0.00078125,False,False,0.693,0.4531929740506276
PD,PSP,StepLengthSymmetryRatio,0.6942567276804069,20.570248021139555,0.49528811956914176,1.0,0.00078125,False,False,0.418,0.24528697999413876
