A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,StepLengthmean,4.829989122598547,20.987456078171316,8.977026146133796e-05,0.0057452967335256296,0.00078125,True,True,488.366,1.7276778207922086
PD,PSP,StepLengthmean,0.3790385542525803,28.0,0.7075184624900915,1.0,0.00078125,False,False,0.364,0.13466462680753555
HC,PSP,StepLengthmean,6.703665405161911,20.959391893122362,1.2506418172725594e-06,8.00410763054438e-05,0.00078125,True,True,5.165e+04,2.3981310679749672
PD,PSP,StepLengthmean,0.902984704331958,28.0,0.3742371489561792,1.0,0.00078125,False,False,0.469,0.32081195133713275
HC,PSP,StepLengthmean,7.238007608474943,20.40828777238375,4.678013875815268e-07,2.9939288805217716e-05,0.00078125,True,True,1.936e+05,2.5944756582256843
PD,PSP,StepLengthmean,0.6824428062901555,28.0,0.5005663734059748,1.0,0.00078125,False,False,0.411,0.24245793678632216
HC,PSP,StepLengthmean,0.6886327392262585,24.891898636362473,0.49742306242857215,1.0,0.00078125,False,False,0.404,0.24293472552369208
PD,PSP,StepLengthmean,-0.4354343746197702,28.0,0.6665854619621052,1.0,0.00078125,False,False,0.37,-0.1547009054869642
