Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
group,0.005644255977785755,2,43,0.0028221279888928775,0.23404171374301305,0.7923302165361965,,0.01076843952107731,,,,
condition,0.11983175690656968,2,86,0.05991587845328484,13.082452239295337,1.0954253773847262e-05,0.0002496201115932322,0.23327175822259866,0.6893659009853066,False,0.5493915516118405,1.8941025419510073e-06
Interaction,0.05090925076105246,4,86,0.012727312690263115,2.7789705284011603,0.03179834135384814,,0.11445998194817873,,,,
