Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,hedges,DV,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global
condition * group,normal,HC,PSP,False,True,5.460135323516568,23.085427206958308,two-sided,1.4822662980612363e-05,2311.959,1.9385979179732806,SingleSupportmean,0.0009486504307591912,0.00078125,True,True
condition * group,normal,PD,PSP,False,True,1.002270023128007,28.0,two-sided,0.32479670171293973,0.503,0.3560859894346599,SingleSupportmean,1.0,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,2.7476667919667,28.378036860556307,two-sided,0.010315315827055036,5.042,0.955612467839087,SingleSupportmean,0.6601802129315223,0.00078125,False,False
condition * group,turn,PD,PSP,False,True,0.015066163290720245,28.0,two-sided,0.9880862383056441,0.344,0.005352698912032697,SingleSupportmean,1.0,0.00078125,False,False
group,-,HC,PSP,False,True,-4.690023968778353,25.76399353819575,two-sided,7.775077967030734e-05,347.674,-1.649255719085115,DoubleSupportmean,0.00497604989889967,0.00078125,True,True
group,-,PD,PSP,False,True,-0.06956267123028206,28.0,two-sided,0.9450361835275056,0.345,-0.024714190827983436,DoubleSupportmean,1.0,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,-6.664438698112256,29.8659801032286,two-sided,2.262899170439477e-07,4.685e+04,-2.2726330539438337,DoubleSupportmean,1.4482554690812653e-05,0.00078125,True,True
condition * group,fast,PD,PSP,False,True,-1.5404389370173994,28.0,two-sided,0.13467994796937865,0.833,-0.547286370333217,DoubleSupportmean,1.0,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,-5.896371645701666,23.062996015831256,two-sided,5.147270804079939e-06,6873.875,-2.093646945554171,DoubleSupportmean,0.0003294253314611161,0.00078125,True,True
condition * group,normal,PD,PSP,False,True,-0.8957112669565752,28.0,two-sided,0.3780431901654181,0.467,-0.3182278481666906,DoubleSupportmean,1.0,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,-1.0146135129884921,29.580922013235657,two-sided,0.3185175306586445,0.499,-0.3501255188658006,DoubleSupportmean,1.0,0.00078125,False,False
condition * group,turn,PD,PSP,False,True,1.2290147951143555,28.0,two-sided,0.2292953513410334,0.607,0.4366437579189552,DoubleSupportmean,1.0,0.00078125,False,False
group,-,HC,PSP,False,True,5.349514848288006,28.722981324781806,two-sided,9.884719271811747e-06,1755.864,1.857074976184602,Swingmean,0.0006326220333959518,0.00078125,True,True
group,-,PD,PSP,False,True,0.619148161589368,28.0,two-sided,0.540824135592409,0.398,0.2199706472694166,Swingmean,1.0,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,6.121887590960945,29.99616318962883,two-sided,9.927136028671862e-07,1.209e+04,2.098007551357031,Swingmean,6.353367058349992e-05,0.00078125,True,True
condition * group,fast,PD,PSP,False,True,1.8253099633853171,28.0,two-sided,0.07863950836004287,1.175,0.6484952052227463,Swingmean,1.0,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,5.427934355500389,23.068576362254067,two-sided,1.608018531896152e-05,2133.869,1.9272793212062547,Swingmean,0.0010291318604135373,0.00078125,True,True
condition * group,normal,PD,PSP,False,True,0.9972587142307723,28.0,two-sided,0.32717977427823186,0.501,0.3543055741315409,Swingmean,1.0,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,2.917172599104218,29.804494602409527,two-sided,0.0066542665201985655,6.923,0.9939041943070875,Swingmean,0.4258730572927082,0.00078125,False,False
condition * group,turn,PD,PSP,False,True,-0.6373305779344038,28.0,two-sided,0.5290869060978052,0.402,-0.22643048699836366,Swingmean,1.0,0.00078125,False,False
group,-,HC,PSP,False,True,-0.650632837746852,27.65264824729046,two-sided,0.5206534241980317,0.401,-0.22913873159423892,StepLengthSymmetryRatio,1.0,0.00078125,False,False
group,-,PD,PSP,False,True,0.13724861252877008,21.817193304419455,two-sided,0.8920930271927997,0.351,0.04861057691551626,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,-1.4621783259951997,16.747399395602827,two-sided,0.1622043055172252,0.761,-0.5514721575864773,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,fast,PD,PSP,False,True,0.28088342549721246,25.70965684674713,two-sided,0.7810479049259699,0.359,0.1003968026371831,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,-2.6268954716127983,14.597365326674899,two-sided,0.019379352607761954,4.027,-1.0069630098773583,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,normal,PD,PSP,False,True,-0.796144827309242,26.42356364469224,two-sided,0.43304276156831445,0.443,-0.2883481426450778,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,1.373073254135765,23.831655631785924,two-sided,0.18251204951859815,0.693,0.4531929740506276,StepLengthSymmetryRatio,1.0,0.00078125,False,False
condition * group,turn,PD,PSP,False,True,0.6942567276804069,20.570248021139555,two-sided,0.49528811956914176,0.418,0.24528697999413876,StepLengthSymmetryRatio,1.0,0.00078125,False,False
