Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
group,8684.226776830688,2,44,4342.113388415344,12.099724730105395,6.498000919045375e-05,,0.3548335016154249,,,,
condition,12227.178013745259,2,88,6113.589006872629,202.39764641742468,1.2020134825393103e-33,4.00881802921808e-17,0.8214268657198974,0.6555580801031866,False,0.4745821455780067,5.212023887326225e-08
Interaction,2564.352370498891,4,88,641.0880926247228,21.22398495345619,2.8113287128293612e-12,,0.4910233282819778,,,,
