A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,Swingmean,5.349514848288006,28.722981324781806,9.884719271811747e-06,0.0006326220333959518,0.00078125,True,True,1755.864,1.857074976184602
PD,PSP,Swingmean,0.619148161589368,28.0,0.540824135592409,1.0,0.00078125,False,False,0.398,0.2199706472694166
HC,PSP,Swingmean,6.121887590960945,29.99616318962883,9.927136028671862e-07,6.353367058349992e-05,0.00078125,True,True,1.209e+04,2.098007551357031
PD,PSP,Swingmean,1.8253099633853171,28.0,0.07863950836004287,1.0,0.00078125,False,False,1.175,0.6484952052227463
HC,PSP,Swingmean,5.427934355500389,23.068576362254067,1.608018531896152e-05,0.0010291318604135373,0.00078125,True,True,2133.869,1.9272793212062547
PD,PSP,Swingmean,0.9972587142307723,28.0,0.32717977427823186,1.0,0.00078125,False,False,0.501,0.3543055741315409
HC,PSP,Swingmean,2.917172599104218,29.804494602409527,0.0066542665201985655,0.4258730572927082,0.00078125,False,False,6.923,0.9939041943070875
PD,PSP,Swingmean,-0.6373305779344038,28.0,0.5290869060978052,1.0,0.00078125,False,False,0.402,-0.22643048699836366
