A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,CycleTimemean,-4.570360748003878,18.903627582613634,0.00021151703745957373,0.013537090397412719,0.00078125,True,True,260.591,-1.6475358577258317
PD,PSP,CycleTimemean,-2.123150920968394,28.0,0.0427147008330873,1.0,0.00078125,False,False,1.777,-0.7543119907474104
HC,PSP,CycleTimemean,-4.9787755585827025,20.926979195255598,6.362850771631475e-05,0.004072224493844144,0.00078125,True,True,702.692,-1.7812872779972242
PD,PSP,CycleTimemean,-3.126719694573807,28.0,0.004095965891082817,0.2621418170293003,0.00078125,False,False,10.07,-1.1108593995981
HC,PSP,CycleTimemean,-4.494968051207135,17.262153625502915,0.00030814141674668626,0.01972105067178792,0.00078125,True,True,217.556,-1.6310710006527238
PD,PSP,CycleTimemean,-3.0730403093807808,28.0,0.004685035571990104,0.2998422766073667,0.00078125,False,False,9.073,-1.0917882146403297
HC,PSP,CycleTimemean,-3.2440918323622956,22.317807499269573,0.0036764284063315806,0.23529141800522116,0.00078125,False,False,13.22,-1.1549185014636
PD,PSP,CycleTimemean,-0.6988462414040642,28.0,0.49041270531954206,1.0,0.00078125,False,False,0.415,-0.24828574095872868
