A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,Cadence,5.400287919147862,26.03734697228295,1.1668176635662767e-05,0.0007467633046824171,0.00078125,True,True,1992.04,1.8970668145626777
PD,PSP,Cadence,3.1888969626141885,28.0,0.0035021000934431913,0.22413440598036424,0.00078125,False,False,11.378,1.132949708097405
HC,PSP,Cadence,5.387484874042635,29.490545542223103,8.214071637320024e-06,0.0005257005847884816,0.00078125,True,True,1929.62,1.8606198010104886
PD,PSP,Cadence,3.315376785094107,28.0,0.0025386207048868135,0.16247172511275607,0.00078125,False,False,14.652,1.1778853957783784
HC,PSP,Cadence,4.790892945308778,20.90010187847811,9.953928302676389e-05,0.006370514113712889,0.00078125,True,True,444.03,1.714233839649779
PD,PSP,Cadence,3.3688615624829437,28.0,0.002213086209188589,0.1416375173880697,0.00078125,False,False,16.333,1.1968874405734105
HC,PSP,Cadence,3.97853062044368,28.78332717320059,0.00042844427237152854,0.027420433431777826,0.00078125,True,True,65.079,1.3806655665035217
PD,PSP,Cadence,1.956092455491559,28.0,0.0604973972287745,1.0,0.00078125,False,False,1.4,0.6949595432032846
