Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
group,79659.19165362034,2,44,39829.59582681017,22.032252773260932,2.34605970494291e-07,,0.5003662403264604,,,,
condition,119505.88560450319,2,88,59752.94280225159,271.3164283773483,2.3284527322773718e-38,1.4284627223946878e-19,0.8604576354412339,0.6683663359440603,False,0.5038145307131519,2.0002786637708743e-07
Interaction,21464.730606670317,4,88,5366.182651667579,24.365887984617782,1.3686240384812954e-13,,0.5255132392309911,,,,
