Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
group,1.3336953469833759,2,44,0.6668476734916879,7.9342510275196885,0.001141811096072987,,0.26505593943958816,,,,
condition,1.5483153073440024,2,88,0.7741576536720012,44.00401295863513,5.672948065994478e-14,2.4631704468208223e-10,0.5000227998616211,0.6763641224366221,False,0.5215064388727951,4.3485321474146826e-07
Interaction,0.06449179350276069,4,88,0.01612294837569017,0.9164469612747238,0.458102656134567,,0.03999079625316169,,,,
