A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,SingleSupportmean,5.556627129592918,28.98699245414128,5.416407763945602e-06,0.00034665009689251853,0.00078125,True,True,2940.519,1.9259647313360304
PD,PSP,SingleSupportmean,0.8668547994495912,28.0,0.39338970808651275,1.0,0.00078125,False,False,0.458,0.3079757369125349
HC,PSP,SingleSupportmean,6.125533715659744,29.996225358240398,9.82669729442969e-07,6.289086268435001e-05,0.00078125,True,True,1.22e+04,2.09924479250504
PD,PSP,SingleSupportmean,1.8208443111644046,28.0,0.07933389140083472,1.0,0.00078125,False,False,1.168,0.6469086505489948
HC,PSP,SingleSupportmean,5.460135323516568,23.085427206958308,1.4822662980612363e-05,0.0009486504307591912,0.00078125,True,True,2311.959,1.9385979179732806
PD,PSP,SingleSupportmean,1.002270023128007,28.0,0.32479670171293973,1.0,0.00078125,False,False,0.503,0.3560859894346599
HC,PSP,SingleSupportmean,2.7476667919667,28.378036860556307,0.010315315827055036,0.6601802129315223,0.00078125,False,False,5.042,0.955612467839087
PD,PSP,SingleSupportmean,0.015066163290720245,28.0,0.9880862383056441,1.0,0.00078125,False,False,0.344,0.005352698912032697
