A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,DoubleSupportmean,-4.690023968778353,25.76399353819575,7.775077967030734e-05,0.00497604989889967,0.00078125,True,True,347.674,-1.649255719085115
PD,PSP,DoubleSupportmean,-0.06956267123028206,28.0,0.9450361835275056,1.0,0.00078125,False,False,0.345,-0.024714190827983436
HC,PSP,DoubleSupportmean,-6.664438698112256,29.8659801032286,2.262899170439477e-07,1.4482554690812653e-05,0.00078125,True,True,4.685e+04,-2.2726330539438337
PD,PSP,DoubleSupportmean,-1.5404389370173994,28.0,0.13467994796937865,1.0,0.00078125,False,False,0.833,-0.547286370333217
HC,PSP,DoubleSupportmean,-5.896371645701666,23.062996015831256,5.147270804079939e-06,0.0003294253314611161,0.00078125,True,True,6873.875,-2.093646945554171
PD,PSP,DoubleSupportmean,-0.8957112669565752,28.0,0.3780431901654181,1.0,0.00078125,False,False,0.467,-0.3182278481666906
HC,PSP,DoubleSupportmean,-1.0146135129884921,29.580922013235657,0.3185175306586445,1.0,0.00078125,False,False,0.499,-0.3501255188658006
PD,PSP,DoubleSupportmean,1.2290147951143555,28.0,0.2292953513410334,1.0,0.00078125,False,False,0.607,0.4366437579189552
