A,B,DV,T,dof,p-unc,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global,BF10,hedges
HC,PSP,Velocity,6.528474611734886,24.728571848932067,8.150196968312884e-07,5.216126059720246e-05,0.00078125,True,True,3.339e+04,2.304458983241415
PD,PSP,Velocity,1.692843992251835,28.0,0.1015848133272433,1.0,0.00078125,False,False,0.995,0.6014327616606038
HC,PSP,Velocity,8.224648839039348,28.57373777072504,5.099180183700964e-09,3.263475317568617e-07,0.00078125,True,True,2.101e+06,2.8575207373266407
PD,PSP,Velocity,2.4719685035066292,28.0,0.019780738718499925,1.0,0.00078125,False,False,3.071,0.8782397259326717
HC,PSP,Velocity,7.739326512730545,22.722273430712477,8.183336135500212e-08,5.237335126720136e-06,0.00078125,True,True,6.568e+05,2.7513278494709783
PD,PSP,Velocity,1.9195249483382488,28.0,0.06516090742441462,1.0,0.00078125,False,False,1.332,0.6819678576640851
HC,PSP,Velocity,2.06088083658453,26.57815689648658,0.04922444990751551,1.0,0.00078125,False,False,1.619,0.7224541460840017
PD,PSP,Velocity,0.0521275850048106,28.0,0.9587971557611166,1.0,0.00078125,False,False,0.345,0.01851986216782885
