,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,7.785059753478279,14.0,two-sided,1.8776060413042915e-06,5.632818123912875e-06,bonf,9902.426,0.7606506751299239
1,condition,-,fast,turn,True,True,6.097705455586072,14.0,two-sided,2.7532969584233346e-05,8.259890875270004e-05,bonf,895.731,0.8895257699593635
2,condition,-,normal,turn,True,True,1.4887003247401536,14.0,two-sided,0.15874417628507184,0.4762325288552155,bonf,0.654,0.2334404753067404
3,RS,-,False,True,False,True,0.5925195248496042,7.2216983523157605,two-sided,0.5715819077756572,,,0.497,0.3280442900509066
4,condition * RS,fast,False,True,False,True,0.9620189576436403,7.171477087274895,two-sided,0.36734788614758557,1.0,bonf,0.598,0.5336346225397
5,condition * RS,normal,False,True,False,True,0.316744019402251,6.682260396059126,two-sided,0.7611026058959187,1.0,bonf,0.457,0.17919751579680201
6,condition * RS,turn,False,True,False,True,0.43112081093639415,8.94092041302879,two-sided,0.6765880929447006,1.0,bonf,0.47,0.22553366713172698
