,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-5.55288979966773,14.0,two-sided,7.118364452672596e-05,0.00021355093358017789,bonf,386.528,-0.9570114697030437
1,condition,-,fast,turn,True,True,-5.132789868689276,14.0,two-sided,0.00015222985859130513,0.0004566895757739154,bonf,198.174,-0.8766473512937338
2,condition,-,normal,turn,True,True,0.07000892202014398,14.0,two-sided,0.9451767450664907,1.0,bonf,0.263,0.008417876543552557
3,RS,-,False,True,False,True,-0.19002938468122943,8.654512264097457,two-sided,0.8536682407033569,,,0.447,-0.10026165328177065
4,condition * RS,fast,False,True,False,True,-0.31774302873144356,12.194784140573336,two-sided,0.7560548311262634,1.0,bonf,0.457,-0.15158715037154757
5,condition * RS,normal,False,True,False,True,-0.4874431083517328,7.514601609221394,two-sided,0.6398441896354881,1.0,bonf,0.478,-0.26697239956285984
6,condition * RS,turn,False,True,False,True,0.18514527958968627,6.910630907626636,two-sided,0.8584315351543479,1.0,bonf,0.447,0.10375917978276714
