,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,462.7414372461693,2,44,231.37071862308466,11.009449395956741,0.0001328179620156735,,0.3335241755745633,,,,
1,condition,335.7927483310373,2,88,167.89637416551864,24.510255033713044,3.4567825432163734e-09,8.293596095868734e-07,0.3577603823201629,0.6490584964418916,False,0.45930681828841197,2.4964052094370916e-08
2,Interaction,22.75533616948087,4,88,5.6888340423702175,0.8304811459805717,0.5093299284985098,,0.03637598089459373,,,,
