,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,4.649203325459917,1,13,4.649203325459917,0.3138429589798929,0.5848568045128629,,0.02357267995024778,,,,
1,condition,44.199024236122355,2,26,22.099512118061178,5.049766133558713,0.014032435349300596,0.028514671196659527,0.27976906161515436,0.604016221204958,False,0.3444153238052296,0.0009795712462413884
2,Interaction,2.3095140710727833,2,26,1.1547570355363916,0.2638634255538448,0.7701104943433789,,0.019893406399638568,,,,
