,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,5.964572326118694,14.0,two-sided,3.459492181921503e-05,0.0001037847654576451,bonf,731.502,0.7854792969136069
1,condition,-,fast,turn,True,True,4.31506899410099,14.0,two-sided,0.0007124752067601977,0.002137425620280593,bonf,51.81,0.7918467720331527
2,condition,-,normal,turn,True,True,-0.1102240495831749,14.0,two-sided,0.9137961684501537,1.0,bonf,0.264,-0.01991272675453302
3,RS,-,False,True,False,True,0.2633546355199348,10.568988640955281,two-sided,0.7973406693193114,,,0.452,0.13169994767669843
4,condition * RS,fast,False,True,False,True,0.7989058269841913,12.905707345076856,two-sided,0.43880095197469215,1.0,bonf,0.545,0.36858811816293247
5,condition * RS,normal,False,True,False,True,0.006853120934318447,8.22129539565625,two-sided,0.9946954289987617,1.0,bonf,0.442,0.0036648149737031253
6,condition * RS,turn,False,True,False,True,0.026552429708578407,11.89038047824477,two-sided,0.9792571479751957,1.0,bonf,0.442,0.012793461500423174
