,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-6.4944481430020025,14.0,two-sided,1.4147307986047905e-05,4.2441923958143714e-05,bonf,1619.789,-0.8498588841820616
1,condition,-,fast,turn,True,True,-4.282815918768083,14.0,two-sided,0.0007583513723848145,0.0022750541171544436,bonf,49.098,-0.9569370875746517
2,condition,-,normal,turn,True,True,-1.9479359656313109,14.0,two-sided,0.07175983609170378,0.21527950827511133,bonf,1.167,-0.2837716011297723
3,RS,-,False,True,False,True,0.05790991478038047,8.139038798255966,two-sided,0.9552169519811324,,,0.443,0.03105035876258271
4,condition * RS,fast,False,True,False,True,-0.5461916411732368,12.615993198077167,two-sided,0.5944618473275657,1.0,bonf,0.488,-0.25633900731604375
5,condition * RS,normal,False,True,False,True,0.13383958243480887,8.392565248296645,two-sided,0.8966835093762615,1.0,bonf,0.445,0.07118620521447797
6,condition * RS,turn,False,True,False,True,0.30888191633767065,6.424666921576081,two-sided,0.7671846020948218,1.0,bonf,0.456,0.17673378284534338
