,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,13376.560784287365,2,44,6688.280392143683,12.253687967843016,5.884879290704183e-05,,0.3577333914919364,,,,
1,condition,17739.822664570333,2,88,8869.911332285166,83.60596293332667,4.503966213405463e-21,8.958991169846991e-20,0.6551885273340264,0.9584669804912405,True,0.956667240130194,0.3690798222796455
2,Interaction,1135.7724418357757,4,88,283.9431104589439,2.676389456318043,0.03694448875315632,,0.10845952407485573,,,,
