,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,1273.718720975477,1,13,1273.718720975477,0.5368247775629901,0.4767554391386597,,0.03965662453227334,,,,
1,condition,10398.846367389362,2,26,5199.423183694681,47.73566986614312,1.9792189704415716e-09,2.9679117226673396e-09,0.785957740671157,0.9151022137548435,True,0.9072258978624204,0.5310682706551373
2,Interaction,106.35383549911057,2,26,53.17691774955529,0.4882148847111189,0.6192348488549902,,0.03619566331676033,,,,
