,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,6.011636071948492,14.0,two-sided,3.190337577046248e-05,9.571012731138744e-05,bonf,785.965,0.7910833002694342
1,condition,-,fast,turn,True,True,2.565442877403042,14.0,two-sided,0.022434922869142376,0.06730476860742712,bonf,2.89,0.7618052419147001
2,condition,-,normal,turn,True,True,0.29062912394678614,14.0,two-sided,0.7755957820366077,1.0,bonf,0.272,0.08678258528800008
3,RS,-,False,True,False,True,0.565452129381847,11.20912768808352,two-sided,0.5829075312104715,,,0.492,0.27789197527457266
4,condition * RS,fast,False,True,False,True,0.8099974308930831,12.885924146542294,two-sided,0.4326459252316789,1.0,bonf,0.548,0.37431469503328485
5,condition * RS,normal,False,True,False,True,0.0031305219228943463,8.232617576852073,two-sided,0.9975767419169612,1.0,bonf,0.442,0.001673490176579409
6,condition * RS,turn,False,True,False,True,0.6714454330036145,11.847739878179153,two-sided,0.5148155602971562,1.0,bonf,0.513,0.28886438273226434
