,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,0.004373497928971165,1,13,0.004373497928971165,0.04085357829372461,0.8429495351142032,,0.00313273805648157,,,,
1,condition,0.33015095650346926,2,26,0.16507547825173463,22.20060902814793,2.3774493418436296e-06,6.007534904122806e-06,0.6306882079908153,0.8671163957854676,True,0.8467522873971451,0.3391692416162018
2,Interaction,0.011577798358362257,2,26,0.005788899179181128,0.778535302405015,0.4694873416748431,,0.05650348787574854,,,,
