,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,0.0003051836414261042,1,12,0.0003051836414261042,0.0416665347901523,0.8416776333264507,,0.00346019669866887,,,,
1,condition,0.011352526548748503,2,24,0.005676263274374252,1.4233206493837245,0.26052858360809394,0.24403848317341467,0.10603342396123647,0.8906266111441087,True,0.8771950136147522,0.455592877241501
2,Interaction,0.0027969399792684424,2,24,0.0013984699896342212,0.3506657668216171,0.7077673500374064,,0.028392458628718864,,,,
