,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,205.1496555890879,1,13,205.1496555890879,0.4373461863550654,0.5199555561103386,,0.032547065491188125,,,,
1,condition,1282.284381447043,2,26,641.1421907235215,25.671342827130722,7.001696689648453e-07,7.667885853479858e-06,0.6638337577747735,0.7629138917911799,True,0.6892360844915563,0.08900041724646954
2,Interaction,51.26564346814666,2,26,25.63282173407333,1.0263385624638832,0.3723809470918429,,0.0731722364958796,,,,
