,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-1.5653757178725882,13.0,two-sided,0.14150385663541176,0.4245115699062353,bonf,0.728,-0.4865071326680167
1,condition,-,fast,turn,True,True,-1.266960576302641,13.0,two-sided,0.22739735289080132,0.682192058672404,bonf,0.527,-0.5282137513300051
2,condition,-,normal,turn,True,True,0.10064465005655729,13.0,two-sided,0.9213681867878734,1.0,bonf,0.271,0.02618514626219904
3,RS,-,False,True,False,True,-0.19343363829070626,8.502967682211926,two-sided,0.8511606767295763,,,0.454,-0.10320290200435475
4,condition * RS,fast,False,True,False,True,-0.966652030179931,10.705042835942733,two-sided,0.3550489526358934,1.0,bonf,0.607,-0.44500606417930444
5,condition * RS,normal,False,True,False,True,0.12069298361684144,7.346149070354624,two-sided,0.9071693856128163,1.0,bonf,0.451,0.06619348915598784
6,condition * RS,turn,False,True,False,True,0.17596747904343102,10.368522965892089,two-sided,0.863708944356922,1.0,bonf,0.453,0.09013695599661178
