,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,group,1895.3229433392082,2,44,947.6614716696041,11.838526714120528,7.695682870326473e-05,,0.3498534913808884,,,,
1,condition,3181.7700538245263,2,88,1590.8850269122631,67.22374800452822,1.9020705903315107e-18,1.7895909211921047e-12,0.6044010313498099,0.6793979911239071,False,0.5281086887735263,5.77131180833827e-07
2,Interaction,392.6027924653117,4,88,98.15069811632793,4.147413348560249,0.003996586801593408,,0.15861658257636477,,,,
