,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,5.352674527614591,14.0,two-sided,0.00010195990892054945,0.00030587972676164837,bonf,281.709,1.0322240641402587
1,condition,-,fast,turn,True,True,5.653385522321455,14.0,two-sided,5.955905536844719e-05,0.00017867716610534158,bonf,452.372,1.0241368117530356
2,condition,-,normal,turn,True,True,0.1664927026326034,14.0,two-sided,0.8701498851386441,1.0,bonf,0.266,0.022876185808104164
3,RS,-,False,True,False,True,0.5437098663719,8.93281302378277,two-sided,0.5999456030905947,,,0.488,0.28450035801180945
4,condition * RS,fast,False,True,False,True,0.25384149618773316,10.955496400466924,two-sided,0.8043189335884886,1.0,bonf,0.452,0.12562266977892617
5,condition * RS,normal,False,True,False,True,0.7264330050358618,7.1182579371157635,two-sided,0.4907652060992099,1.0,bonf,0.526,0.40378038517138787
6,condition * RS,turn,False,True,False,True,0.5697524856180667,8.004499417945512,two-sided,0.5844769976961361,1.0,bonf,0.492,0.3068394520872994
