,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,8.508032326314977,14.0,two-sided,6.640094968655202e-07,1.9920284905965606e-06,bonf,2.531e+04,1.0314046161139299
1,condition,-,fast,turn,True,True,7.895941357750707,14.0,two-sided,1.5943869116690177e-06,4.783160735007053e-06,bonf,1.147e+04,1.0591474882667602
2,condition,-,normal,turn,True,True,0.8467776049310327,14.0,two-sided,0.4113606290451062,1.0,bonf,0.358,0.10169410613871492
3,RS,-,False,True,False,True,0.6683704868273382,7.718829663237741,two-sided,0.5233763936241194,,,0.512,0.363442814759454
4,condition * RS,fast,False,True,False,True,0.8272170444549279,9.224283987816223,two-sided,0.4289939243406563,1.0,bonf,0.553,0.42921575801008044
5,condition * RS,normal,False,True,False,True,0.6557073580384244,6.813408580561923,two-sided,0.5335190228512963,1.0,bonf,0.51,0.36893343381543586
6,condition * RS,turn,False,True,False,True,0.4487363258148017,7.6038356341747795,two-sided,0.6661330978204332,1.0,bonf,0.473,0.24499381955308863
