,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,184.07137459568622,1,13,184.07137459568622,0.328947062651114,0.5760678872607838,,0.024679148405717114,,,,
1,condition,2583.878861862606,2,26,1291.939430931303,23.688357439132194,1.3880211661410793e-06,5.603003300075756e-06,0.6456641586757421,0.8003249727845944,True,0.7505075637954066,0.15481319653661832
2,Interaction,18.657390893820775,2,26,9.328695446910388,0.17104630983197283,0.8437231827332814,,0.012986539247401289,,,,
