,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,1.112757201218129,1,13,1.112757201218129,0.07049066100490209,0.7947874221912298,,0.005393115134935763,,,,
1,condition,37.13919443260011,2,26,18.569597216300053,14.386837201154458,6.2118239335565e-05,0.00010734657706874175,0.525319411492613,0.880349553174845,True,0.8640875702229456,0.386923784052291
2,Interaction,1.9349773486694062,2,26,0.9674886743347031,0.7495640260520128,0.48251133493881837,,0.05451547588212796,,,,
