,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
0,RS,0.3425195468501906,1,13,0.3425195468501906,0.003918263360812716,0.9510403934718487,,0.0003013140563834992,,,,
1,condition,277.33894759099496,2,26,138.66947379549748,17.181609358938548,1.7563556476572973e-05,0.000451646629948405,0.5692741283145017,0.583087801135639,False,0.28499241786165597,0.0002860332286220159
2,Interaction,13.009113181330122,2,26,6.504556590665061,0.8059362117341861,0.4575171391993161,,0.05837606369998947,,,,
